,NAME,G_LEFT_batter_Std,PA_LEFT_batter_Std,AB_LEFT_batter_Std,R_LEFT_batter_Std,H_LEFT_batter_Std,1B_LEFT_batter_Std,2B_LEFT_batter_Std,3B_LEFT_batter_Std,HR_LEFT_batter_Std,TB_LEFT_batter_Std,SO_LEFT_batter_Std,BB_LEFT_batter_Std,HBP_LEFT_batter_Std,SF_LEFT_batter_Std,SH_LEFT_batter_Std,RBI_LEFT_batter_Std,DP_LEFT_batter_Std,FB%_LEFT_batter_Std,GB%_LEFT_batter_Std,LD%_LEFT_batter_Std,POP%_LEFT_batter_Std,ISO_LEFT_batter_Std,AVG_LEFT_batter_Std,OBP_LEFT_batter_Std,SLG_LEFT_batter_Std,TAV_LEFT_batter_Std,BASES_VS_AB_LEFT_batter_Std
194,JOSH REDDICK,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0
195,ALEDMYS DIAZ,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.33,33.33,0.0,33.33,0.0,0.0,0.0,0.0,-0.001,0.0
196,MAX KEPLER,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0
197,TONY KEMP,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0
198,CHRIS TAYLOR,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,-0.004,0.0
199,CHRISTIAN WALKER,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.0
200,ZACK GREINKE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.0
201,ANDREW MCCUTCHEN,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0
202,CESAR HERNANDEZ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0
203,ENDER INCIARTE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0
204,MAIKEL FRANCO,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,-0.005,0.0
