,Team(s),ID,MLB ID,Pos,Bats,Throws,NAME,NAME_TEAM
282,NYA,67182,593334,P,R,R,DOMINGO GERMAN,DOMINGO GERMAN NYA
283,MIN,65801,502043,P,R,R,KYLE GIBSON,KYLE GIBSON MIN
284,HOU,70354,571704,P,R,R,KEN GILES,KEN GILES HOU
285,CHA,100261,608337,P,R,R,LUCAS GIOLITO,LUCAS GIOLITO CHA
286,BAL,66543,571710,P,R,R,MYCHAL GIVENS,MYCHAL GIVENS BAL
287,PIT,70795,607192,P,L,R,TYLER GLASNOW,TYLER GLASNOW PIT
288,ARI,100137,643327,P,R,R,ZACK GODLEY,ZACK GODLEY ARI
289,KCA,60144,572365,2B,L,R,RYAN GOINS,RYAN GOINS KCA
290,ARI,59307,502671,1B,R,R,PAUL GOLDSCHMIDT,PAUL GOLDSCHMIDT ARI
291,CLE,60834,543228,C,R,R,YAN GOMES,YAN GOMES CLE
292,TBA,47621,460576,CF,R,R,CARLOS GOMEZ,CARLOS GOMEZ TBA
293,SFN,68174,596816,P,B,R,ROBERTO GOMEZ,ROBERTO GOMEZ SFN
294,SEA,68759,594835,P,L,L,MARCO GONZALES,MARCO GONZALES SEA
295,NYN,31485,408236,1B,L,L,ADRIAN GONZALEZ,ADRIAN GONZALEZ NYN
296,COL,47678,471865,LF,L,L,CARLOS GONZALEZ,CARLOS GONZALEZ COL
297,CLE,66263,570481,2B,R,R,ERIK GONZALEZ,ERIK GONZALEZ CLE
298,WAS,45529,461829,P,R,L,GIO GONZALEZ,GIO GONZALEZ WAS
299,HOU,50609,503556,SS,B,R,MARWIN GONZALEZ,MARWIN GONZALEZ HOU
300,CHA,47476,456068,P,R,R,MIGUEL GONZALEZ,MIGUEL GONZALEZ CHA
301,DET,67002,592348,3B,B,R,NIKO GOODRUM,NIKO GOODRUM DET
302,WAS,70764,571718,CF,L,R,BRIAN GOODWIN,BRIAN GOODWIN WAS
303,CLE,100191,580792,P,R,R,NICK GOODY,NICK GOODY CLE
304,KCA,52054,460086,LF,L,R,ALEX GORDON,ALEX GORDON KCA
305,SEA,58880,543829,2B,L,R,DEE GORDON,DEE GORDON SEA
306,CIN,67762,594838,2B,R,R,PHIL GOSSELIN,PHIL GOSSELIN CIN
307,OAK,70888,605254,P,R,R,DANIEL GOSSETT,DANIEL GOSSETT OAK
308,WAS,102601,641627,P,R,R,TREVOR GOTT,TREVOR GOTT WAS
309,WAS,67764,594840,P,L,L,MATT GRACE,MATT GRACE WAS
310,LAN,65870,518735,C,B,R,YASMANI GRANDAL,YASMANI GRANDAL LAN
311,TOR,36252,434158,RF,L,R,CURTIS GRANDERSON,CURTIS GRANDERSON TOR
312,OAK,102077,608665,P,R,R,KENDALL GRAVEMAN,KENDALL GRAVEMAN OAK
313,COL,68564,592351,P,R,R,JON GRAY,JON GRAY COL
314,NYA,70306,543243,P,R,R,SONNY GRAY,SONNY GRAY NYA
315,NYA,68565,643338,P,L,R,CHAD GREEN,CHAD GREEN NYA
316,DET,60907,572888,P,R,R,SHANE GREENE,SHANE GREENE DET
317,NYA,58809,544369,SS,L,R,DIDI GREGORIUS,DIDI GREGORIUS NYA
318,ARI,31734,425844,P,R,R,ZACK GREINKE,ZACK GREINKE ARI
319,TOR,60408,545341,RF,R,R,RANDAL GRICHUK,RANDAL GRICHUK TOR
320,KCA,68390,518748,P,R,R,JUSTIN GRIMM,JUSTIN GRIMM KCA
321,MIN,57919,543257,LF,B,L,ROBBIE GROSSMAN,ROBBIE GROSSMAN MIN
322,NYN,70551,607229,P,R,R,ROBERT GSELLMAN,ROBERT GSELLMAN NYN
323,MIL,47850,448855,P,R,R,JUNIOR GUERRA,JUNIOR GUERRA MIL
324,MIA,67641,594027,P,R,R,TAYRON GUERRERO,TAYRON GUERRERO MIA
325,HOU,51408,493329,1B,R,R,YULIESKI GURRIEL,YULIESKI GURRIEL HOU
326,CLE,57379,446386,LF,R,R,BRANDON GUYER,BRANDON GUYER CLE
327,TEX,100281,608597,1B,L,L,RONALD GUZMAN,RONALD GUZMAN TEX
328,SLN,66729,576397,2B,R,R,JEDD GYORKO,JEDD GYORKO SLN
329,MIL,101384,623352,P,L,L,JOSH HADER,JOSH HADER MIL
330,TEX,45534,430935,P,L,L,COLE HAMELS,COLE HAMELS TEX
331,CIN,59654,571740,CF,B,R,BILLY HAMILTON,BILLY HAMILTON CIN
332,KCA,36564,434628,P,R,R,JASON HAMMEL,JASON HAMMEL KCA
333,SDN,57938,543272,P,L,L,BRAD HAND,BRAD HAND SDN
334,SEA,99914,571745,RF,R,R,MITCH HANIGER,MITCH HANIGER SEA
335,CHN,105437,664023,CF,B,R,IAN HAPP,IAN HAPP CHN
336,TOR,46084,457918,P,L,L,J.A. HAPP,J.A. HAPP TOR
337,WAS,66018,547180,LF,L,R,BRYCE HARPER,BRYCE HARPER WAS
338,HOU,51032,501789,P,R,R,WILL HARRIS,WILL HARRIS HOU
339,PIT,57951,543281,3B,R,R,JOSH HARRISON,JOSH HARRISON PIT
340,BAL,103391,643354,P,L,L,DONNIE HART,DONNIE HART BAL
341,NYN,68391,518774,P,R,R,MATT HARVEY,MATT HARVEY NYN
342,OAK,51061,501822,P,R,R,CHRIS HATCHER,CHRIS HATCHER OAK
343,SDN,47736,452104,3B,B,R,CHASE HEADLEY,CHASE HEADLEY SDN
344,SEA,102034,592387,1B,R,R,RYON HEALY,RYON HEALY SEA
345,ANA,99874,571760,P,L,L,ANDREW HEANEY,ANDREW HEANEY ANA
